dayoftheyear,open,high,low,close,WLLDE
144,103.08,103.98,102.46,103.81,103.61
145,104.13,104.19,103.48,103.69,103.61
146,103.71,103.99,102.68,103.36,103.43
147,103.32,103.50,102.74,103.17,103.39
148,103.74,104.66,103.62,103.97,103.29
149,104.06,104.20,101.84,102.30,102.74
150,102.05,102.41,101.33,102.17,102.54
151,102.82,103.56,102.81,103.34,102.66
152,102.79,103.19,101.45,102.01,102.43
153,101.31,102.57,100.23,102.36,102.28
154,102.47,102.96,101.97,102.20,102.31
155,101.96,102.50,101.75,102.36,102.53
156,102.11,103.23,101.85,103.21,102.79
157,103.07,103.15,102.54,102.68,102.49
158,102.36,102.91,101.41,102.00,101.25
159,101.06,101.38,99.17,99.18,98.64
160,97.78,98.61,94.84,94.84,95.14
161,87.28,94.96,78.49,91.19,92.47
162,94.54,95.16,90.78,90.85,92.47
163,93.51,95.61,91.63,95.43,94.84
164,96.81,97.91,95.66,97.84,96.93
165,97.33,98.18,97.11,97.83,97.28
166,97.28,97.82,96.37,96.61,96.21
167,94.20,95.67,93.20,93.59,95.20
168,95.29,96.25,94.19,96.23,95.45
169,96.61,97.27,95.49,95.76,95.58
170,94.44,95.26,94.09,94.62,95.65
171,96.44,97.41,96.04,97.29,96.33
172,98.44,98.47,95.95,96.20,96.71
173,96.08,97.88,95.97,97.24,97.13
174,96.80,97.78,96.52,97.78,97.55
175,98.14,98.16,97.11,97.48,97.88
176,97.72,98.94,97.35,98.63,98.48
177,98.65,99.28,98.31,99.19,98.94
178,99.09,100.71,98.77,99.22,98.81
179,97.70,98.97,97.65,97.81,98.23
180,98.35,98.93,97.24,98.12,97.68
181,96.61,96.95,95.75,96.65,97.06
182,96.91,97.17,96.22,96.73,96.63
183,95.79,96.74,94.95,96.37,96.14
184,97.41,97.50,94.96,95.56,95.03
185,95.15,95.21,92.56,92.84,93.58
186,93.07,94.02,91.69,92.35,93.21
187,93.67,94.58,93.31,94.48,94.10
188,94.65,94.92,93.39,94.91,95.22
189,93.59,96.57,93.29,96.57,96.45
190,97.28,98.21,97.07,97.95,97.40
191,97.72,98.05,96.73,97.49,97.74
192,98.10,98.29,96.83,98.07,98.05
193,97.70,98.63,96.75,98.46,98.46
194,98.51,99.09,98.24,98.91,98.81
195,99.09,99.34,98.74,99.15,98.88
196,98.58,99.59,98.42,98.51,98.70
197,98.51,99.00,97.94,98.35,98.89
198,98.71,99.98,98.58,99.97,99.66
199,100.18,100.44,99.70,100.39,100.34
200,100.25,101.03,100.03,100.96,100.62
