Datetime,Open,High,Low,Close
,QQQ,QQQ,QQQ,QQQ
2015-01-02 00:00:00,95.663,96.068,94.446,94.907
2015-01-05 00:00:00,94.492,94.602,93.247,93.514
2015-01-06 00:00:00,93.653,93.809,91.846,92.261
2015-01-07 00:00:00,92.869,93.671,92.648,93.45
2015-01-08 00:00:00,94.243,95.423,94.141,95.238
2015-01-09 00:00:00,95.534,95.561,94.058,94.612
2015-01-12 00:00:00,94.796,94.897,93.385,93.625
2015-01-13 00:00:00,94.538,95.533,92.841,93.597
2015-01-14 00:00:00,92.657,93.561,92.261,93.081
2015-01-15 00:00:00,93.514,93.662,91.763,91.873
2015-01-16 00:00:00,91.753,93.072,91.606,92.952
2015-01-20 00:00:00,93.514,93.929,92.463,93.69
2015-01-21 00:00:00,93.413,94.612,93.081,94.169
2015-01-22 00:00:00,94.538,96.013,93.708,95.911
2015-01-23 00:00:00,95.902,96.419,95.626,96.124
2015-01-26 00:00:00,96.013,96.188,95.524,96.013
2015-01-27 00:00:00,94.501,94.556,93.21,93.524
2015-01-28 00:00:00,95.026,95.128,93.026,93.044
2015-01-29 00:00:00,92.97,94.114,92.159,93.938
2015-01-30 00:00:00,93.856,94.575,93.081,93.21
2015-02-02 00:00:00,93.422,94.104,91.965,94.021
2015-02-03 00:00:00,94.363,94.99,93.745,94.925
2015-02-04 00:00:00,94.538,95.469,94.326,94.842
2015-02-05 00:00:00,95.082,95.727,94.842,95.663
2015-02-06 00:00:00,95.81,96.041,94.741,95.082
2015-02-09 00:00:00,94.713,95.229,94.547,94.777
2015-02-10 00:00:00,95.303,96.382,95.155,96.253
2015-02-11 00:00:00,96.363,96.824,96.179,96.603
2015-02-12 00:00:00,97.23,97.765,97.082,97.728
2015-02-13 00:00:00,98.004,98.585,97.82,98.567
2015-02-17 00:00:00,98.567,98.723,98.318,98.659
2015-02-18 00:00:00,98.539,98.853,98.41,98.797
2015-02-19 00:00:00,98.733,99.35,98.705,99.286
2015-02-20 00:00:00,99.221,100.005,98.908,99.95
2015-02-23 00:00:00,99.894,100.079,99.673,100.051
2015-02-24 00:00:00,99.922,100.245,99.618,100.125
2015-02-25 00:00:00,99.977,100.365,99.655,99.876
2015-02-26 00:00:00,99.977,100.438,99.701,100.383
2015-02-27 00:00:00,100.346,100.411,99.784,99.94
2015-03-02 00:00:00,100.134,100.881,100.116,100.844
2015-03-03 00:00:00,100.54,100.641,99.738,100.374
2015-03-04 00:00:00,100.042,100.189,99.443,99.987
2015-03-05 00:00:00,100.245,100.466,99.747,100.162
2015-03-06 00:00:00,100.033,100.226,98.779,99.028
2015-03-09 00:00:00,99.231,99.562,98.825,99.313
2015-03-10 00:00:00,98.604,98.631,97.47,97.47
2015-03-11 00:00:00,97.617,97.737,96.87,96.907
2015-03-12 00:00:00,96.833,97.654,96.769,97.543
2015-03-13 00:00:00,97.451,97.838,96.511,97.119
2015-03-16 00:00:00,97.479,98.41,97.377,98.373
2015-03-17 00:00:00,98.106,98.687,97.875,98.53
2015-03-18 00:00:00,98.263,99.95,97.755,99.498
2015-03-19 00:00:00,99.599,99.922,99.452,99.645
2015-03-20 00:00:00,100.466,100.789,100.272,100.29
2015-03-23 00:00:00,100.235,100.512,100.059,100.096
2015-03-24 00:00:00,100.087,100.549,99.717,99.736
2015-03-25 00:00:00,99.893,99.985,97.417,97.454
2015-03-26 00:00:00,96.65,97.675,96.326,97.121
2015-03-27 00:00:00,97.102,97.74,96.954,97.509
2015-03-30 00:00:00,98.1,98.71,98.1,98.627
2015-03-31 00:00:00,98.35,98.553,97.555,97.583
2015-04-01 00:00:00,97.583,97.601,96.446,97.075
2015-04-02 00:00:00,97.167,97.453,96.825,97.139
2015-04-06 00:00:00,96.566,98.202,96.419,97.934
2015-04-07 00:00:00,97.879,98.599,97.768,97.768
2015-04-08 00:00:00,97.805,98.683,97.795,98.544
2015-04-09 00:00:00,98.498,99.2,98.165,99.163
2015-04-10 00:00:00,99.126,99.579,98.904,99.57
2015-04-13 00:00:00,99.644,100.152,99.209,99.32
2015-04-14 00:00:00,99.218,99.505,98.47,99.034
2015-04-15 00:00:00,99.292,99.865,99.172,99.653
2015-04-16 00:00:00,99.385,99.69,99.246,99.514
2015-04-17 00:00:00,98.562,98.83,97.537,97.962
2015-04-20 00:00:00,98.452,99.607,98.415,99.431
2015-04-21 00:00:00,100.004,100.18,99.736,99.856
2015-04-22 00:00:00,100.115,100.568,99.468,100.401
2015-04-23 00:00:00,100.059,101.233,100.041,100.78
2015-04-24 00:00:00,101.843,102.286,101.677,102.148
2015-04-27 00:00:00,102.527,102.721,101.667,101.889
2015-04-28 00:00:00,101.963,102.157,100.826,101.686
2015-04-29 00:00:00,101.122,101.714,100.494,101.048
2015-04-30 00:00:00,100.475,100.882,98.932,99.459
2015-05-01 00:00:00,99.847,100.836,99.828,100.771
2015-05-04 00:00:00,101.094,101.566,100.882,100.937
2015-05-05 00:00:00,100.54,100.725,99.246,99.292
2015-05-06 00:00:00,99.468,99.754,97.953,98.609
2015-05-07 00:00:00,98.581,99.477,98.507,99.2
2015-05-08 00:00:00,100.226,100.651,100.078,100.438
2015-05-11 00:00:00,100.503,100.706,99.976,100.05
2015-05-12 00:00:00,99.459,100.106,98.692,99.597
2015-05-13 00:00:00,100.032,100.549,99.653,99.801
2015-05-14 00:00:00,100.614,101.344,100.244,101.261
2015-05-15 00:00:00,101.519,101.658,101.011,101.261
2015-05-18 00:00:00,101.094,101.908,101.02,101.704
2015-05-19 00:00:00,101.815,101.972,101.427,101.593
2015-05-20 00:00:00,101.667,102.268,101.122,101.658
2015-05-21 00:00:00,101.482,102.323,101.335,102.185
2015-05-22 00:00:00,102.065,102.453,102.0,102.083
2015-05-26 00:00:00,101.861,102.0,100.503,100.91
2015-05-27 00:00:00,101.215,102.647,100.993,102.536
2015-05-28 00:00:00,102.342,102.582,101.991,102.305
2015-05-29 00:00:00,102.24,102.379,101.455,101.695
