Datetime,Open,High,Low,Close,Volume
2025-09-08 07:00:00,104.73,104.87,104.73,104.87,0
2025-09-08 07:04:00,104.98,104.98,104.84,104.84,0
2025-09-08 07:06:00,104.98,104.98,104.84,104.84,57
2025-09-08 07:10:00,104.37,104.37,104.37,104.37,0
2025-09-08 07:12:00,104.94,104.94,104.37,104.37,74
2025-09-08 07:14:00,104.94,104.94,104.94,104.94,0
2025-09-08 07:18:00,104.37,104.94,104.37,104.37,80
2025-09-08 07:20:00,104.94,104.94,104.37,104.37,0
2025-09-08 07:22:00,104.37,104.88,104.37,104.88,0
2025-09-08 07:28:00,104.86,104.86,104.86,104.86,84
2025-09-08 07:30:00,104.88,104.88,104.88,104.88,0
2025-09-08 07:32:00,104.7,104.7,104.7,104.7,0
2025-09-08 07:34:00,104.73,104.73,104.73,104.73,0
2025-09-08 07:36:00,104.73,104.88,104.73,104.73,0
2025-09-08 07:38:00,104.88,104.88,104.73,104.88,0
2025-09-08 07:40:00,104.88,104.88,104.73,104.73,86
2025-09-08 07:42:00,104.88,104.88,104.73,104.73,0
2025-09-08 07:44:00,104.73,104.88,104.73,104.73,0
2025-09-08 07:46:00,104.88,104.88,104.88,104.88,0
2025-09-08 07:48:00,104.88,104.88,104.88,104.88,0
2025-09-08 07:50:00,104.72,104.72,104.71,104.71,0
2025-09-08 07:56:00,104.88,104.88,104.88,104.88,0
2025-09-08 07:58:00,104.76,104.76,104.76,104.76,0
2025-09-08 08:06:00,104.773,104.773,104.773,104.773,1086
2025-09-08 08:12:00,104.76,104.76,104.76,104.76,8
2025-09-08 08:22:00,104.77,104.77,104.77,104.77,1158
2025-09-08 08:34:00,104.75,104.75,104.75,104.75,0
2025-09-08 08:44:00,104.75,104.75,104.75,104.75,1176
2025-09-08 08:48:00,104.75,104.81,104.75,104.81,0
2025-09-08 08:52:00,104.75,104.75,104.75,104.75,208
2025-09-08 08:54:00,104.75,104.75,104.75,104.75,125
2025-09-08 08:56:00,104.76,104.76,104.71,104.71,3589
2025-09-08 08:58:00,104.77,104.77,104.77,104.77,150
2025-09-08 09:02:00,104.77,104.77,104.77,104.77,50
2025-09-08 09:06:00,104.71,104.71,104.71,104.71,604
2025-09-08 09:12:00,104.711,104.711,104.711,104.711,122
2025-09-08 09:16:00,104.71,104.71,104.7,104.7,0
2025-09-08 09:18:00,104.76,104.76,104.76,104.76,8
2025-09-08 09:44:00,104.72,104.72,104.72,104.72,946
2025-09-08 09:54:00,104.76,104.76,104.76,104.76,0
2025-09-08 09:56:00,104.71,104.71,104.71,104.71,1210
2025-09-08 10:04:00,104.72,104.72,104.72,104.72,0
2025-09-08 10:08:00,104.71,104.71,104.71,104.71,725
2025-09-08 10:10:00,104.76,104.76,104.76,104.76,2
2025-09-08 10:14:00,104.76,104.76,104.76,104.76,0
2025-09-08 10:16:00,104.76,104.76,104.69,104.69,0
